2018-01-25 00:45:53 status half-installed libtiff5:amd64 4.0.6-1ubuntu0.2
2018-01-25 00:45:53 status unpacked libtiff5:amd64 4.0.6-1ubuntu0.2
2018-01-25 00:45:53 status unpacked libtiff5:amd64 4.0.6-1ubuntu0.2
2018-01-25 00:45:53 install libvpx3:amd64 <none> 1.5.0-2ubuntu1
2018-01-25 00:45:53 status half-installed libvpx3:amd64 1.5.0-2ubuntu1
2018-01-25 00:45:53 status unpacked libvpx3:amd64 1.5.0-2ubuntu1
2018-01-25 00:45:53 status unpacked libvpx3:amd64 1.5.0-2ubuntu1
2018-01-25 00:45:53 install libxpm4:amd64 <none> 1:3.5.11-1ubuntu0.16.04.1
2018-01-25 00:45:53 status half-installed libxpm4:amd64 1:3.5.11-1ubuntu0.16.04.1
2018-01-25 00:45:53 status unpacked libxpm4:amd64 1:3.5.11-1ubuntu0.16.04.1
2018-01-25 00:45:53 status unpacked libxpm4:amd64 1:3.5.11-1ubuntu0.16.04.1
2018-01-25 00:45:53 install libgd3:amd64 <none> 2.1.1-4ubuntu0.16.04.8
2018-01-25 00:45:53 status half-installed libgd3:amd64 2.1.1-4ubuntu0.16.04.8
2018-01-25 00:45:53 status unpacked libgd3:amd64 2.1.1-4ubuntu0.16.04.8
2018-01-25 00:45:53 status unpacked libgd3:amd64 2.1.1-4ubuntu0.16.04.8
2018-01-25 00:45:54 install libtcmalloc-minimal4:amd64 <none> 2.4-0ubuntu5.16.04.1
2018-01-25 00:45:54 status half-installed libtcmalloc-minimal4:amd64 2.4-0ubuntu5.16.04.1
2018-01-25 00:45:54 status unpacked libtcmalloc-minimal4:amd64 2.4-0ubuntu5.16.04.1
2018-01-25 00:45:54 status unpacked libtcmalloc-minimal4:amd64 2.4-0ubuntu5.16.04.1
2018-01-25 00:45:54 install libunwind8:amd64 <none> 1.1-4.1
2018-01-25 00:45:54 status half-installed libunwind8:amd64 1.1-4.1
2018-01-25 00:45:54 status unpacked libunwind8:amd64 1.1-4.1
2018-01-25 00:45:54 status unpacked libunwind8:amd64 1.1-4.1
2018-01-25 00:45:54 install libgoogle-perftools4:amd64 <none> 2.4-0ubuntu5.16.04.1
2018-01-25 00:45:54 status half-installed libgoogle-perftools4:amd64 2.4-0ubuntu5.16.04.1
2018-01-25 00:45:54 status unpacked libgoogle-perftools4:amd64 2.4-0ubuntu5.16.04.1
2018-01-25 00:45:54 status unpacked libgoogle-perftools4:amd64 2.4-0ubuntu5.16.04.1
2018-01-25 00:45:54 install libhtml-template-perl:all <none> 2.95-2
2018-01-25 00:45:54 status half-installed libhtml-template-perl:all 2.95-2
2018-01-25 00:45:54 status unpacked libhtml-template-perl:all 2.95-2
2018-01-25 00:45:54 status unpacked libhtml-template-perl:all 2.95-2
2018-01-25 00:45:54 install libtimedate-perl:all <none> 2.3000-2
2018-01-25 00:45:54 status half-installed libtimedate-perl:all 2.3000-2
2018-01-25 00:45:54 status unpacked libtimedate-perl:all 2.3000-2
2018-01-25 00:45:54 status unpacked libtimedate-perl:all 2.3000-2
2018-01-25 00:45:54 install libhttp-date-perl:all <none> 6.02-1
2018-01-25 00:45:54 status half-installed libhttp-date-perl:all 6.02-1
2018-01-25 00:45:54 status unpacked libhttp-date-perl:all 6.02-1
2018-01-25 00:45:54 status unpacked libhttp-date-perl:all 6.02-1
2018-01-25 00:45:54 install libio-html-perl:all <none> 1.001-1
2018-01-25 00:45:54 status half-installed libio-html-perl:all 1.001-1
2018-01-25 00:45:54 status unpacked libio-html-perl:all 1.001-1
2018-01-25 00:45:54 status unpacked libio-html-perl:all 1.001-1
2018-01-25 00:45:54 install liblwp-mediatypes-perl:all <none> 6.02-1
2018-01-25 00:45:54 status half-installed liblwp-mediatypes-perl:all 6.02-1
2018-01-25 00:45:54 status unpacked liblwp-mediatypes-perl:all 6.02-1
2018-01-25 00:45:54 status unpacked liblwp-mediatypes-perl:all 6.02-1
2018-01-25 00:45:54 install libhttp-message-perl:all <none> 6.11-1
2018-01-25 00:45:54 status half-installed libhttp-message-perl:all 6.11-1
2018-01-25 00:45:54 status unpacked libhttp-message-perl:all 6.11-1
2018-01-25 00:45:54 status unpacked libhttp-message-perl:all 6.11-1
2018-01-25 00:45:54 install libv8-3.14.5:amd64 <none> 3.14.5.8-5ubuntu2
2018-01-25 00:45:54 status half-installed libv8-3.14.5:amd64 3.14.5.8-5ubuntu2
2018-01-25 00:45:54 status unpacked libv8-3.14.5:amd64 3.14.5.8-5ubuntu2
2018-01-25 00:45:54 status unpacked libv8-3.14.5:amd64 3.14.5.8-5ubuntu2
2018-01-25 00:45:54 install libxslt1.1:amd64 <none> 1.1.28-2.1ubuntu0.1
2018-01-25 00:45:54 status half-installed libxslt1.1:amd64 1.1.28-2.1ubuntu0.1
2018-01-25 00:45:54 status unpacked libxslt1.1:amd64 1.1.28-2.1ubuntu0.1
2018-01-25 00:45:54 status unpacked libxslt1.1:amd64 1.1.28-2.1ubuntu0.1
2018-01-25 00:45:54 install libyaml-cpp0.5v5:amd64 <none> 0.5.2-3
2018-01-25 00:45:54 status half-installed libyaml-cpp0.5v5:amd64 0.5.2-3
2018-01-25 00:45:54 status unpacked libyaml-cpp0.5v5:amd64 0.5.2-3
2018-01-25 00:45:54 status unpacked libyaml-cpp0.5v5:amd64 0.5.2-3
2018-01-25 00:45:54 install libsnappy1v5:amd64 <none> 1.1.3-2
2018-01-25 00:45:54 status half-installed libsnappy1v5:amd64 1.1.3-2
2018-01-25 00:45:54 status unpacked libsnappy1v5:amd64 1.1.3-2
2018-01-25 00:45:54 status unpacked libsnappy1v5:amd64 1.1.3-2
2018-01-25 00:45:54 install mongodb-clients:amd64 <none> 1:2.6.10-0ubuntu1
2018-01-25 00:45:54 status half-installed mongodb-clients:amd64 1:2.6.10-0ubuntu1
2018-01-25 00:45:59 status unpacked mongodb-clients:amd64 1:2.6.10-0ubuntu1
2018-01-25 00:45:59 status unpacked mongodb-clients:amd64 1:2.6.10-0ubuntu1
2018-01-25 00:45:59 install mongodb-server:amd64 <none> 1:2.6.10-0ubuntu1
2018-01-25 00:45:59 status half-installed mongodb-server:amd64 1:2.6.10-0ubuntu1
2018-01-25 00:46:00 status unpacked mongodb-server:amd64 1:2.6.10-0ubuntu1
2018-01-25 00:46:00 status unpacked mongodb-server:amd64 1:2.6.10-0ubuntu1
2018-01-25 00:46:00 install mongodb:amd64 <none> 1:2.6.10-0ubuntu1
2018-01-25 00:46:00 status half-installed mongodb:amd64 1:2.6.10-0ubuntu1
2018-01-25 00:46:00 status unpacked mongodb:amd64 1:2.6.10-0ubuntu1
